CompanyName,MatchingName,SimilarityScore
3I GROUP,3I GROUP PLC,0.8
3M CO,3M CO,1.0
ABB LTD,ABB LTD,1.0
ABBOTT LABORATORIES,ABBOTT LABORATORIES,1.0
ABBVIE,ABBVIE INC,0.75
ABN AMRO BANK,ABN AMRO BANK N/EQ,0.8387096774193549
ABRDN,ARCADIS NV,0.5333333333333333
ACCENTURE A,ACCENTURE PLC,0.8333333333333334
ACCIONA,ACCIONA SA,0.8235294117647058
ACCIONA ENERGIA,ACCIONA SA,0.72
ACCOR,ACCOR SA,0.7692307692307693
ACS ACTIV CONST Y SVCS,ACS ACTIVIDADES DE CONSTRCCN Y SRVCOS SA,0.7096774193548387
ACTIVISION BLIZZARD,"ACTIVISION BLIZZARD, INC.",0.8636363636363636
ADECCO GROUP,ADECCO GROUP AG,0.8888888888888888
ADEVINTA,ADVINI SA,0.7058823529411765
ADIDAS,ADIDAS AG,0.8
ADMIRAL GROUP,ADMIRAL GROUP PLC,0.8666666666666667
ADOBE,ADOBE INC,0.7142857142857143
ADP,ADAMS PLC,0.5
ADVANCE AUTO PARTS,"ADVANCE AUTO PARTS, INC.",0.8571428571428571
ADVANCED MICRO DEVICES,"ADVANCED MICRO DEVICES, INC.",0.88
ADVANTEST CORP,ADVANTEST CORP,1.0
ADYEN NV,ADYEN NV,1.0
AECOM,AECOM,1.0
AEGON,AEGON N.V.,0.6666666666666666
AENA,ALTEN SA,0.6666666666666666
AEON CO,AEGION CORP,0.7777777777777778
AERCAP HOLDINGS NV,AERCAP HOLDINGS N.V.,0.9473684210526315
AES CORP,AES CORP,1.0
AFLAC,AFYA,0.6666666666666666
AGC,AGC INC,0.6
AGEAS,AGEAS SA,0.7692307692307693
AGILENT TECHNOLOGIES,AGILENT TECHNOLOGIES INC,0.9090909090909091
AGNICO EAGLE MINES,AGNICO EAGLE MINES LTD,0.9
AHOLD DELHAIZE,AHB HOLDINGS BERHAD,0.5454545454545454
AIA GROUP,APA GROUP,0.8888888888888888
AIB GROUP,ABO GROUP,0.8888888888888888
AIR CANADA VV,AIR CANADA,0.8695652173913043
AIR LIQUIDE,AIR LIQUIDE SA,0.88
AIR PRODUCTS & CHEMICALS,"AIR PRODUCTS & CHEMICALS, INC.",0.8888888888888888
AIRBNB A,"AIRBNB, INC.",0.7
AIRBUS,AIRBUS SE,0.8
AISIN CORP,ASICS CORP,0.8
AJINOMOTO CO,AJINOMOTO CO INC,0.8571428571428571
AKAMAI TECHNOLOGIES,"AKAMAI TECHNOLOGIES, INC.",0.8636363636363636
AKER BP,AKER BP ASA,0.7777777777777778
AKZO NOBEL,AKZO NOBEL NV,0.8695652173913043
ALBEMARLE CORP,ALBEMARLE CORPORATION,0.8
ALCOA (NEW),ALBA SE,0.5555555555555556
ALCON,ALCON AG,0.7692307692307693
ALEXANDRIA REAL ESTATE,ALEXANDRIA REAL ESTATE EQUITIES INC,0.7719298245614035
ALFA LAVAL,ALFA LAVAL AB,0.8695652173913043
