CompanyName,MatchingName,SimilarityScore
Alior Bank,Alinma Bank,0.7619047619047619
Allegro,Ailleron SA,0.6666666666666666
Bank Pekao,Bank Pekao SA,0.8695652173913043
CCC,CAC 40,0.4444444444444444
CD Projekt,CD Projekt SA,0.8695652173913043
Cyfrowy Polsat,Cyfrowy Polsat SA,0.9032258064516129
Dino,Deinove SA,0.5714285714285714
Grupa Lotos,Grupa Lotos SA,0.88
Jastrzębska Spółka Węglowa,Jastrzebska Spolka Weglowa SA,0.8
KGHM Polska Miedź,KGHM Polska Miedz SA,0.8648648648648649
LPP,LPP SA,0.6666666666666666
Mercator Medical,Mercator Ltd,0.7142857142857143
Orange Polska,Orange Polska SA,0.896551724137931
PGE Polska Grupa Energetyczna,PGE Polska Grupa Energetyczna SA,0.9508196721311475
PGNiG,PGNiG SA,0.7692307692307693
PKN Orlen,PEN Inc.,0.47058823529411764
PKO BP,PGO SA,0.5
PZU,PUMA,0.5714285714285714
Santander Bank Polska,Santander Bank Polska SA,0.9333333333333333
